genus,region,eDNA_detected,visual_detected,total_detected,perc_match,more_detected
Actinia,Scotland,7,7,14,50,Equal
Actinia,Northeast England,3,4,7,42.85714286,Visual
Actinia,North Wales,3,4,7,42.85714286,Visual
Actinia,South Wales,1,5,6,16.66666667,Visual
Actinia,Southwest England,5,5,10,50,Equal
Alaria,Scotland,0,2,2,0,Visual
Alaria,Northeast England,0,3,3,0,Visual
Alaria,North Wales,0,1,1,0,Visual
Alaria,Southwest England,0,3,3,0,Visual
Anemonia,North Wales,0,2,2,0,Visual
Anemonia,South Wales,0,3,3,0,Visual
Anemonia,Southwest England,0,5,5,0,Visual
Ascophyllum,Scotland,2,4,6,33.33333333,Visual
Ascophyllum,Northeast England,0,4,4,0,Visual
Ascophyllum,North Wales,0,4,4,0,Visual
Ascophyllum,South Wales,1,6,7,14.28571429,Visual
Ascophyllum,Southwest England,0,3,3,0,Visual
Asparagopsis,Southwest England,8,1,9,88.88888889,eDNA
Asterias,Scotland,4,0,4,100,eDNA
Asterias,Northeast England,1,1,2,50,Equal
Asterias,Southwest England,1,0,1,100,eDNA
Aulactinia,Southwest England,1,0,1,100,eDNA
Austrominius,Northeast England,1,1,2,50,Equal
Austrominius,North Wales,2,4,6,33.33333333,Visual
Austrominius,South Wales,3,4,7,42.85714286,Visual
Austrominius,Southwest England,2,1,3,66.66666667,eDNA
Balanus,Scotland,1,0,1,100,eDNA
Balanus,Northeast England,3,0,3,100,eDNA
Balanus,North Wales,2,1,3,66.66666667,eDNA
Balanus,South Wales,0,2,2,0,Visual
Balanus,Southwest England,1,0,1,100,eDNA
Bifurcaria,South Wales,0,2,2,0,Visual
Bifurcaria,Southwest England,3,4,7,42.85714286,Visual
Botrylloides,Scotland,6,0,6,100,eDNA
Botrylloides,Northeast England,2,0,2,100,eDNA
Botrylloides,North Wales,3,0,3,100,eDNA
Botrylloides,South Wales,4,1,5,80,eDNA
Botrylloides,Southwest England,4,0,4,100,eDNA
Calliblepharis,South Wales,3,0,3,100,eDNA
Calliblepharis,Southwest England,2,3,5,40,Visual
Calliostoma,Scotland,2,1,3,66.66666667,eDNA
Calliostoma,Southwest England,0,3,3,0,Visual
Caulacanthus,Scotland,2,0,2,100,eDNA
Caulacanthus,South Wales,6,0,6,100,eDNA
Caulacanthus,Southwest England,4,1,5,80,eDNA
Chondracanthus,South Wales,0,1,1,0,Visual
Chondracanthus,Southwest England,1,1,2,50,Equal
Chondrus,Scotland,7,5,12,58.33333333,eDNA
Chondrus,Northeast England,2,4,6,33.33333333,Visual
Chondrus,North Wales,4,5,9,44.44444444,Visual
Chondrus,South Wales,5,3,8,62.5,eDNA
Chondrus,Southwest England,3,5,8,37.5,Visual
Chthamalus,Scotland,3,3,6,50,Equal
Chthamalus,North Wales,1,4,5,20,Visual
Chthamalus,South Wales,3,5,8,37.5,Visual
Chthamalus,Southwest England,4,5,9,44.44444444,Visual
Clibanarius,Southwest England,0,2,2,0,Visual
Codium,North Wales,0,1,1,0,Visual
Codium,Southwest England,0,3,3,0,Visual
Colpomenia,Scotland,1,0,1,100,eDNA
Colpomenia,Northeast England,0,1,1,0,Visual
Colpomenia,North Wales,0,1,1,0,Visual
Colpomenia,South Wales,1,0,1,100,eDNA
Colpomenia,Southwest England,3,1,4,75,eDNA
Corella,Northeast England,2,0,2,100,eDNA
Corella,North Wales,3,0,3,100,eDNA
Corella,South Wales,1,2,3,33.33333333,Visual
Corella,Southwest England,2,0,2,100,eDNA
Crepidula,South Wales,0,1,1,0,Visual
Dasysiphonia,Scotland,1,0,1,100,eDNA
Dasysiphonia,Southwest England,1,0,1,100,eDNA
Dendrodoa,Scotland,1,0,1,100,eDNA
Dendrodoa,Northeast England,1,0,1,100,eDNA
Dendrodoa,South Wales,1,0,1,100,eDNA
Ericaria,Southwest England,0,2,2,0,Visual
Fucus,Scotland,14,7,21,66.66666667,eDNA
Fucus,Northeast England,10,5,15,66.66666667,eDNA
Fucus,North Wales,12,6,18,66.66666667,eDNA
Fucus,South Wales,12,6,18,66.66666667,eDNA
Fucus,Southwest England,5,5,10,50,Equal
Grateloupia,Southwest England,2,2,4,50,Equal
Halichondria,Scotland,4,2,6,66.66666667,eDNA
Halichondria,Northeast England,2,1,3,66.66666667,eDNA
Halichondria,South Wales,0,2,2,0,Visual
Halichondria,Southwest England,0,5,5,0,Visual
Halidrys,Scotland,4,2,6,66.66666667,eDNA
Halidrys,Northeast England,5,4,9,55.55555556,eDNA
Halidrys,North Wales,3,3,6,50,Equal
Halidrys,South Wales,1,0,1,100,eDNA
Halidrys,Southwest England,5,1,6,83.33333333,eDNA
Haliotis,Scotland,1,0,1,100,eDNA
Himanthalia,Scotland,6,4,10,60,eDNA
Himanthalia,Northeast England,4,4,8,50,Equal
Himanthalia,North Wales,2,0,2,100,eDNA
Himanthalia,South Wales,4,1,5,80,eDNA
Himanthalia,Southwest England,5,5,10,50,Equal
Hymeniacidon,Scotland,5,1,6,83.33333333,eDNA
Hymeniacidon,Northeast England,3,0,3,100,eDNA
Hymeniacidon,North Wales,5,4,9,55.55555556,eDNA
Hymeniacidon,South Wales,7,6,13,53.84615385,eDNA
Hymeniacidon,Southwest England,8,5,13,61.53846154,eDNA
Laminaria,Scotland,7,7,14,50,Equal
Laminaria,Northeast England,5,4,9,55.55555556,eDNA
Laminaria,North Wales,4,3,7,57.14285714,eDNA
Laminaria,South Wales,4,4,8,50,Equal
Laminaria,Southwest England,4,4,8,50,Equal
Lichina,Scotland,0,6,6,0,Visual
Lichina,South Wales,0,2,2,0,Visual
Lichina,Southwest England,0,5,5,0,Visual
Littorina,Scotland,12,7,19,63.15789474,eDNA
Littorina,Northeast England,9,5,14,64.28571429,eDNA
Littorina,North Wales,8,6,14,57.14285714,eDNA
Littorina,South Wales,6,6,12,50,Equal
Littorina,Southwest England,5,5,10,50,Equal
Mastocarpus,Scotland,6,3,9,66.66666667,eDNA
Mastocarpus,Northeast England,8,4,12,66.66666667,eDNA
Mastocarpus,North Wales,6,3,9,66.66666667,eDNA
Mastocarpus,South Wales,9,4,13,69.23076923,eDNA
Mastocarpus,Southwest England,8,4,12,66.66666667,eDNA
Melarhaphe,Scotland,1,5,6,16.66666667,Visual
Melarhaphe,Northeast England,1,2,3,33.33333333,Visual
Melarhaphe,North Wales,0,4,4,0,Visual
Melarhaphe,South Wales,1,2,3,33.33333333,Visual
Melarhaphe,Southwest England,4,5,9,44.44444444,Visual
Mytilus,Scotland,3,4,7,42.85714286,Visual
Mytilus,Northeast England,4,0,4,100,eDNA
Mytilus,North Wales,0,1,1,0,Visual
Mytilus,South Wales,3,2,5,60,eDNA
Mytilus,Southwest England,3,4,7,42.85714286,Visual
Nucella,Scotland,1,7,8,12.5,Visual
Nucella,Northeast England,1,5,6,16.66666667,Visual
Nucella,North Wales,1,6,7,14.28571429,Visual
Nucella,South Wales,1,5,6,16.66666667,Visual
Nucella,Southwest England,1,5,6,16.66666667,Visual
Onchidella,Southwest England,0,1,1,0,Visual
Palmaria,Scotland,2,2,4,50,Equal
Palmaria,Northeast England,0,3,3,0,Visual
Palmaria,North Wales,0,3,3,0,Visual
Palmaria,South Wales,0,2,2,0,Visual
Palmaria,Southwest England,0,5,5,0,Visual
Patella,Scotland,6,7,13,46.15384615,Visual
Patella,Northeast England,5,5,10,50,Equal
Patella,North Wales,3,6,9,33.33333333,Visual
Patella,South Wales,5,6,11,45.45454545,Visual
Patella,Southwest England,4,5,9,44.44444444,Visual
Pelvetia,Scotland,0,7,7,0,Visual
Pelvetia,Northeast England,0,3,3,0,Visual
Pelvetia,North Wales,0,4,4,0,Visual
Pelvetia,South Wales,0,4,4,0,Visual
Pelvetia,Southwest England,0,4,4,0,Visual
Perforatus,South Wales,2,3,5,40,Visual
Perforatus,Southwest England,2,5,7,28.57142857,Visual
Phorcus,North Wales,2,4,6,33.33333333,Visual
Phorcus,South Wales,3,5,8,37.5,Visual
Phorcus,Southwest England,3,4,7,42.85714286,Visual
Sabellaria,Scotland,2,0,2,100,eDNA
Sabellaria,Northeast England,4,0,4,100,eDNA
Sabellaria,North Wales,9,0,9,100,eDNA
Sabellaria,South Wales,6,0,6,100,eDNA
Sabellaria,Southwest England,4,1,5,80,eDNA
Saccharina,Scotland,0,2,2,0,Visual
Saccharina,Northeast England,0,1,1,0,Visual
Saccharina,North Wales,0,1,1,0,Visual
Saccharina,Southwest England,0,2,2,0,Visual
Saccorhiza,Scotland,1,0,1,100,eDNA
Saccorhiza,North Wales,0,2,2,0,Visual
Saccorhiza,South Wales,1,1,2,50,Equal
Saccorhiza,Southwest England,3,3,6,50,Equal
Sargassum,North Wales,0,2,2,0,Visual
Sargassum,South Wales,0,2,2,0,Visual
Sargassum,Southwest England,1,4,5,20,Visual
Semibalanus,Scotland,7,7,14,50,Equal
Semibalanus,Northeast England,2,5,7,28.57142857,Visual
Semibalanus,North Wales,5,6,11,45.45454545,Visual
Semibalanus,South Wales,2,6,8,25,Visual
Semibalanus,Southwest England,4,5,9,44.44444444,Visual
Steromphala,Scotland,6,6,12,50,Equal
Steromphala,Northeast England,4,3,7,57.14285714,eDNA
Steromphala,North Wales,5,5,10,50,Equal
Steromphala,South Wales,5,6,11,45.45454545,Visual
Steromphala,Southwest England,5,5,10,50,Equal
Treptacantha,Southwest England,0,1,1,0,Visual
